	305-5-16641	304-4-78826	302-2-89334	306-6-83608	301-1-59020	taxonomy
Zotu115	0	0	21.860314163313	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;SOTU1070
Zotu116	35.6318109680832	0	9.4728028041023	11.1840169210962	21	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;SOTU112
Zotu117	10.8874977958032	0	0	92.9133713444915	49	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;SOTU163
Zotu118	82.1511197319697	0	54.6507854082825	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;SOTU1125
Zotu119	0	0	0	213.356630494758	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacteriumcoprostanoligenesgroup;GOTU231;SOTU1244
Zotu120	0	69.3533772652389	68.4956510450474	0	28	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;SOTU284
Zotu121	11.8772703226944	0	0	30.1108147875667	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU767
Zotu122	0	0	305.315721147605	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella;SOTU129
Zotu123	0	0	0	0	109	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;SOTU173
Zotu124	0	0	23.3176684408672	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU891
Zotu125	0	45.3793703093538	0	5.16185396358286	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;GOTU137;SOTU1662
Zotu126	0	0	5.8294171102168	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU251
Zotu127	142.527243872333	0	7.286771387771	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU765
Zotu128	40.5806736025392	0	5.1007399714397	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Eubacteriumsiraeumgroup;SOTU789
Zotu129	0	10.274574409665	0	29.2505057936362	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumruminantiumgroup;SOTU94
Zotu130	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacteriumcoprostanoligenesgroup;GOTU224;SOTU1239
Zotu131	0	0	0	0	41	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;SOTU490
Zotu132	0	111.307889438038	0	236.584973330881	352	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacteriumcoprostanoligenesgroup;GOTU232;SOTU1234
Zotu133	182.118144947981	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;SOTU200
Zotu134	0	16.2680761486363	35.7051798000779	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcustorquesgroup;SOTU1189
Zotu135	0	15.4118616144975	0	184.966433695052	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;SOTU316
Zotu136	48.4988538176688	21.4053633534688	96.9140594573543	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;SOTU165
Zotu137	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustricto1;SOTU1209
Zotu138	0	47.9480139117701	151.564844865637	0	113	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;SOTU1125
Zotu139	0	0	249.936258600545	117.862332168475	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU859
Zotu140	0	0	0	22.3680338421924	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;SOTU42
Zotu141	0	0	124.603790730884	19.787106860401	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU851
Zotu142	21.7749955916064	0	0	0	14	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;FamilyXIIIUCG-001;SOTU1094
Zotu143	0	35.1047958996888	0	0	71	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;SOTU719
Zotu144	61.3658966672545	0	0	0	0	Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;FOTU2;GOTU384;SOTU1942
Zotu145	0	10.274574409665	0	0	23	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU322
Zotu146	152.424969141245	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU851
Zotu147	16.8261329571504	0	0	10.3237079271657	0	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;ChristensenellaceaeR-7group;SOTU377
Zotu148	0	0	0	0	18	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;SOTU10
Zotu149	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;ChristensenellaceaeR-7group;SOTU387
Zotu150	181.12837242109	702.095917993776	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU613
Zotu151	13.8568153764768	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;SOTU490
Zotu152	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU250
Zotu153	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU793
Zotu154	0	17.124290682775	120.960405036999	0	297	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;SOTU1027
Zotu155	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;SOTU681
Zotu156	0	0	0	35.2726687511495	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU863
Zotu157	0	0	16.7595741918733	0	99	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeUCG-001;SOTU75
Zotu158	0	5.13728720483251	58.294171102168	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;SOTU537
Zotu159	0	0	0	84.3102814051867	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU863
Zotu160	0	0	15.3022199143191	0	83	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiumsensustricto1;SOTU1209
Zotu161	27.7136307529536	0	0	12.9046349089571	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;SOTU490
Zotu162	0	7.70593080724876	0	120.443259150267	7	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;SOTU690
Zotu163	25.7340856991712	0	7.286771387771	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcusgnavusgroup;SOTU354
Zotu164	0	0	0	53.3391576236895	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;SOTU1279
Zotu165	0	0	0	45.5963766783152	0	Bacteria;Firmicutes;Clostridia;ClostridiaUCG-014;FOTU26;GOTU461;SOTU2004
Zotu166	21.7749955916064	0	0	20.6474158543314	9	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;SOTU501
Zotu167	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;GOTU134;SOTU1690
Zotu168	0	0	59.0228482409451	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;SOTU502
